1|가격|価格|값|밀가루 가격이 또 올랐어요.|小麦粉の価格がまた上がりました。|가격도 싸고 음식도 맛있어요.|価格も安く食べ物も美味しいです。|가게마다 가격이 다 달라요.|店ごとに価格がみんな違います。
2|가능성|可能性|현실성(現実性)|그가 돌아올 가능송은 거의 없어요.|彼が帰ってくる可能性がほとんどありません。|실현 가능성이 있는 이야기를 해라.|実現の可能性がある話をしろ。|그 팀이 우승할 가능성이 높습니다.|そのチームが優勝擦る可能性が高いです。
3|가루|粉|분말(粉末)|분필 가루는 피부에도 안 좋아요.|チョークの粉は皮膚にもよくありません。|쌀을 곱게 빻아 가루로 만들었어요.|米を細かくひいて粉にしました。|알약 말고 가루약으로 주세요.|錠剤ではなく粉薬でください。
4|가스|ガズ|기체(気体)|가스 누출로 모두가 대피했어요.|ガス漏れでみんあが退避しました。|가스 요금을 깜빡해서 가스 끊겼어요.|ガス料金をうっかり忘れてガスが止められました。|수술 뒤 배에 가스가 차서 불편하다.|手術後、腹にガスがたまって苦しい。
5|가위|はさみ||그거 제가 가위로 잘랐어요.|それ、私がはさみで切りました。|이 종이애 그려진 그림을 가위로 오려 두세요.|この髪に描かれた絵をはさみで切り抜いておいてください。|가위 바위 보!|じゃんけんぽん(はさみ、岩、風呂敷)!
6|가정|家庭|일가(一家)|화목한 가정에서 사랑을 받으며 자랐다.|仲のよい家庭で愛情を受けて育った。|이제 한 사정을 이룰 두 사람.|これから一つの家庭をつくる二人。|남편이 가정적인 사람이에요.|夫は家庭的な人です。
7|가치|価値||상대할 가치도 없는 인간입니다.|相手にする価値もない人間です。|개봉한 뒤라 상품 가치가 떨어졌어요.|開封した後なので商品価値が落ちました。|그런 돈을 주고 살 가치가 있나요?|そんな金を出して買う価値がありますか？
8|각자|各自|저마다|자, 이제 각자 자리로 돌아가세요.|さあ、もう各自席に戻ってください。|각자가 느낀 점을 솔직히 적으세요.|各自感じたことを率直に書いてください。|각자가 맡은 일에 최선을 다합시다.|各自が任された仕事に最善を尽くしましょう。
9|감|柿||요즘 감이 먹기 좋게 익었어요.|最近柿が食べごろに熟(う)れました。|아버지께서 감을 따 주셨습니다.|お父さんが柿を採(と)ってくださいました。|안 따고 남겨 둔 감은 까치밥이에요.|採(と)らないで残しておいた柿はカササギのえさです。
10|감자|ジャガイモ||감자 삶아 놓았으니 출출한 때 먹어.|ジャガイモをゆでておいたから、小腹が空いたときに食べて。|감자 껍질 좀 까 놓아라.|じゃがいもの皮をむいておけ。|할머니를 도와 감자를 캤다.|おばあさんを手伝ってジャガイモを掘った。
11|감정|感情|마음;기분(気分);생각|자신의 감정을 솔직히 표현하세요.|自分の感情を率直に表現してください。|너는 너무 감정이 메말랐다니까!|お前はまったく感情に乏しいんだから！|금세 감정을 잡는 게 과연 명배우다.|すぐに感情をとらえるところがやはり名俳優だ。
12|강좌|講座||문화센터에서요리 강좌를 들어요.|文化センターで料理講座を受けます。|학생과 학부모를 위한 성교육 강좌.|学生と父兄のための性教育講座。|동사무소에서 무료 강좌를 들으려고요.|町役場で無料講座を受けようと思います。
13|개인|個人||개인의 문제가 아니라 국가 전체의 문제다.|個人の問題ではなく国家全体の問題だ。|개인적인 생각이니 신경 쓰지 마세요.|個人的な考えだから気を使わないでください。|경제에는 개인적으로 관심이 많아서요.|経済には個人的に関心が高いからです。
14|결국|結局|마침내;끝내|결국 라면을 끓여 먹고 잤어요.|結局ラーメンを作って食べて寝ました。|그는 결국 회사를 그만두고 말았다.|彼は結局会社を辞めてしまった。|결국 하고 싶은 말이 뭐야?|結局言いたいことは何だ？
15|경찰|警察||빨리 경찰에 신고해 주세요.|早く警察に通報してください。|경찰은 음주 단속을 강화했습니다.|警察は飲酒運転の取り締まりを強化しました。|어려서부터 경찰이 되고 싶었어요.|小さい頃から警察官になりたかったです。
16|경|景色|풍경(風景)|이 산은 빼어난 경치로 유명합니다.|この山は秀麗な景色で有名です。|아름다운 경치를 사진으로 남겼어요.|美しい景色を写真で残しました。|가까운 데에 경치 좋은 곳 있나요?|近いところに景色のいい場所はありますか？
17|경향|傾向||현실 도피적인 경향이 있어요.|現実逃避的な傾向があります。|그는 언론애 휘둘리는 경향이있다.|彼はマスコミに振り回される傾向がある。|내년의 입시 경향은 어떨까요?|来年の入試傾向はどうでしょうか？
18|곁|側|옆|환자 곁을 지키느라 자리를 못 비워요.|患者を側で見守ろうと席を離れられません。|어머니는 아이 곁을 떠나지 않았다.|お母さんは子供の側を離れなかった。|그는 결국 내 곁을 떠났다.|彼は結局私の側を離れた。
19|계란|卵|달걀|계란 한 판이면 서른 개예요.|卵1ケースなら30個です。|계란찜도 만들 줄 알아요?|蒸し卵も作れるんですか？|계란이나 달걀이나 다 같은 뜻이에요.|鶏卵も卵もみんな同じ意味です。
20|계절|季節|철|가을은 독서의 계절이에요.|安芸は読書の季節です。|계절을 타지 않는 스타일이에요.|季節を問わないスタイルです。|사계절이 뚜렷한 나라도 드물죠.|四節がはっきりしている国も珍しいでしょう。
21|고구마|サツマイモ||고구마를 삶아서 김치와 먹었어요.|サツマイモをゆでてキムチと食べます。|아침으로 찐 고구마 하나 먹었어요.|朝食にふかしたサツマイモを一つ食べました。|군고구마.|焼きイモ。
22|고모|(父方の)おば|이모(母の姉妹)|돌아가신 고모가 꿈에 나오셨다.|亡くなられたおばが夢に出てこられた。|이번에는 고모 댁에서 모인대요.|今度はおばの家で集まるそうです。|주말에는 고모네 가족이 놀러 와요.|週末にはおばの家族が遊びに来ます。
23|고통|苦痛|아픔;괴로움|그는 극심한 고통에 시달리고 있어요.|彼は本当にひどい苦痛に悩んでいます。|제발 이 고통에서 벗어나게 해주세요.|どうかこの苦痛から抜け出させてください。|이런 고통을 어떻게 참았을까?|こんな苦痛をどうやって我慢していたのか？
